Version,Config,Bench,n,fail,perf,perf_adj,std%,sem%,peak_memory,weight,,
v0.0.6,A100-80Go-SXM4 x 8,bert-fp16,8,0,155.25,155.25,3.60%,0.20%,24456,0,,
v0.0.6,A100-80Go-SXM4 x 8,bert-fp32,8,0,29.25,29.25,0.80%,0.10%,31428,0,,
v0.0.6,A100-80Go-SXM4 x 8,bert-tf32,8,0,120.33,120.33,6.20%,0.40%,31428,0,,1.290201945
v0.0.6,A100-80Go-SXM4 x 8,bert-tf32-fp16,8,0,154.79,154.79,3.50%,0.20%,24456,3,,1
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-fp16,8,0,335.58,335.58,13.00%,0.80%,27560,0,,
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-fp32,8,0,44.66,44.66,14.80%,0.90%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-tf32,8,0,135.75,135.75,11.90%,0.80%,49688,0,,
v0.0.6,A100-80Go-SXM4 x 8,convnext_large-tf32-fp16,8,0,332.98,332.98,14.90%,0.90%,27560,3,,
v0.0.6,A100-80Go-SXM4 x 8,davit_large,8,0,305.18,305.18,5.70%,0.30%,34960,1,,
v0.0.6,A100-80Go-SXM4 x 8,davit_large-multi,1,0,2234.24,2234.24,9.90%,1.30%,42134,5,,
v0.0.6,A100-80Go-SXM4 x 8,dlrm,1,0,214677.43,14677.43,13.10%,1.70%,3098,1,,
v0.0.6,A100-80Go-SXM4 x 8,focalnet,8,0,391.95,391.95,6.10%,0.30%,26308,2,,
v0.0.6,A100-80Go-SXM4 x 8,opt-1_3b,1,0,25.59,25.59,1.30%,0.20%,44004,5,,
v0.0.6,A100-80Go-SXM4 x 8,opt-6_7b,1,0,14.15,14.15,0.60%,0.10%,53984,5,,
v0.0.6,A100-80Go-SXM4 x 8,reformer,8,0,60.72,60.72,1.30%,0.10%,25280,1,,
v0.0.6,A100-80Go-SXM4 x 8,regnet_y_128gf,8,0,95.66,95.66,4.70%,0.20%,31874,2,,
v0.0.6,A100-80Go-SXM4 x 8,resnet152,8,0,694.52,694.52,4.70%,0.20%,36058,1,,
v0.0.6,A100-80Go-SXM4 x 8,resnet152-multi,1,0,5329.83,5329.83,6.00%,0.80%,38442,5,,
v0.0.6,A100-80Go-SXM4 x 8,resnet50,8,0,927.77,927.77,22.60%,1.00%,4930,1,,
v0.0.6,A100-80Go-SXM4 x 8,stargan,8,0,50.73,50.73,40.80%,1.90%,37632,1,,
v0.0.6,A100-80Go-SXM4 x 8,super-slomo,8,0,41.51,41.51,3.30%,0.20%,33984,1,,
v0.0.6,A100-80Go-SXM4 x 8,t5,8,0,48.85,48.85,4.60%,0.20%,35370,2,,
v0.0.6,A100-80Go-SXM4 x 8,whisper,8,0,15.4,15.4,41.40%,1.90%,36908,1,,
v0.0.6,A100-80Go-SXM4 x 4,bert-fp16,4,0,155.24,155.24,3.90%,0.30%,24456,0,,
v0.0.6,A100-80Go-SXM4 x 4,bert-fp32,4,0,29.32,29.32,0.70%,0.10%,31428,0,,
v0.0.6,A100-80Go-SXM4 x 4,bert-tf32,4,0,119.57,119.57,5.80%,0.50%,31428,0,,
